,predicted_qty,real_y,date,promotion_flag,Special_order,break,year,month,weekday,long_holiday_start,after_long_holi,chu_and_sul,long_holiday_rest,mean_temp,precipitation_1day,max_windspeed,mean_humidity,weekend
86,708.6538696289062,360.0,2018-06-19,0,0,0,2018,6,2,0,0,0,0,21.6,6.8,5.8,86.5,0
87,746.0446166992188,401.0,2018-06-20,0,0,0,2018,6,3,0,0,0,0,22.8,0.5,5.5,73.3,0
88,625.5535888671875,419.9999694824219,2018-06-21,0,0,0,2018,6,4,0,0,0,0,24.7,0.0,7.9,55.5,0
89,886.4317016601562,648.0,2018-06-22,0,0,0,2018,6,5,0,0,0,0,24.0,0.0,4.7,56.5,0
90,1047.2891845703125,1402.0,2018-06-23,0,0,1,2018,6,6,0,0,0,0,23.0,0.9,6.3,68.1,1
91,996.11572265625,760.0,2018-06-25,0,0,0,2018,6,1,0,0,0,0,23.3,0.0,7.0,80.5,0
92,601.7925415039062,731.0,2018-06-26,0,0,0,2018,6,2,0,0,0,0,22.8,1.5,12.5,93.9,0
93,743.1982421875,790.0,2018-06-27,0,0,0,2018,6,3,0,0,0,0,23.1,6.7,12.4,91.9,0
94,668.4078979492188,613.0,2018-06-28,0,0,0,2018,6,4,0,0,0,0,21.2,131.1,7.1,97.5,0
95,669.0665283203125,905.0,2018-06-29,0,0,0,2018,6,5,0,0,0,0,22.2,11.0,6.5,96.5,0
96,964.5604858398438,698.0,2018-06-30,0,0,1,2018,6,6,0,0,0,0,21.0,74.4,6.5,95.9,1
97,1005.4625244140625,1151.0,2018-07-01,0,0,1,2018,7,7,0,0,0,0,24.5,13.9,4.6,86.5,1
98,626.1685180664062,565.0,2018-07-02,0,0,0,2018,7,1,0,0,0,0,25.4,2.7,4.6,86.8,0
99,643.3784790039062,589.0,2018-07-03,0,0,0,2018,7,2,0,0,0,0,22.7,90.9,8.3,95.9,0
100,601.7283325195312,827.0,2018-07-04,0,0,0,2018,7,3,0,0,0,0,25.0,1.3,7.3,83.4,0
101,593.5706176757812,618.0,2018-07-05,0,0,0,2018,7,4,0,0,0,0,22.9,5.3,3.1,94.1,0
102,668.6356811523438,724.0,2018-07-06,0,0,0,2018,7,5,0,0,0,0,20.8,2.9,5.7,89.9,0
103,1087.6961669921875,1303.0,2018-07-07,0,0,1,2018,7,6,0,0,0,0,20.0,0.0,6.3,76.5,1
104,852.62939453125,630.0,2018-07-09,0,0,0,2018,7,1,0,0,0,0,20.0,4.0,4.7,92.8,0
105,574.828369140625,538.0,2018-07-10,0,0,0,2018,7,2,0,0,0,0,24.0,0.0,2.8,85.5,0
106,639.2606811523438,666.0,2018-07-11,0,0,0,2018,7,3,0,0,0,0,26.6,0.0,6.4,78.5,0
107,654.1690673828125,451.0000305175781,2018-07-12,0,0,0,2018,7,4,0,0,0,0,27.4,0.0,7.2,78.3,0
